project_id	title	org	act_code	short	long	recipient
98266365	Forestry policy and administrative management	Germany	31210.01	FORESTRY POLICY AND ADMINISTRATIVE MANAGEMENT	Forestry policy and administrative management	Botswana

98266921	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Brazil

98249544	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	

98703259	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	Albania

98708962	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	

98709995	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	Bosnia-Herzegovina

98712587	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	China

98454074	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Uganda

98469537	Human rights	Germany	15150.07	HUMAN RIGHTS	Human rights	Palestinian Adm. Areas

98567043	Assistance and Protection activities	Germany	72010.01	ASSISTANCE AND PROTECTION ACTIVITIES	Assistance and Protection activities	Pakistan

98567043	Assistance and Protection activities	Germany	72050.01	ASSISTANCE AND PROTECTION ACTIVITIES	Assistance and Protection activities	Pakistan

98364566	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Mongolia

98368465	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Mozambique

98368758	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Mozambique

98336359	Forestry education/training	Germany	31281.01	FORESTRY EDUCATION/TRAINING	Forestry education/training	Indonesia

98336814	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Indonesia

98373278	Forestry policy and administrative management	Germany	31210.01	FORESTRY POLICY AND ADMINISTRATIVE MANAGEMENT	Forestry policy and administrative management	Namibia

50070798	InWEnt Regional Offices	Germany	92020.01	INWENT REGIONAL OFFICES	InWEnt Auslandsbüros 2008 - 2011	Kenya

68722207	Humanitarian Aid for Internally Displaced Persons (IDPs), Pader	Germany	72030.01	EMERGENCY/DISTRESS RELIEF	Hygiene and Sanitation Kits	Uganda

68748524	Support of Women entrepreneurship in Imereti	Germany	42010.01	WOMEN'S EQUALITY ORGANISATIONS AND INSTITUTIONS	Förderung wirtschaftlicher Initiativen von Frauen	Georgia

68748524	Support of Women entrepreneurship in Imereti	Germany	15150.09	WOMEN'S EQUALITY ORGANISATIONS AND INSTITUTIONS	Förderung wirtschaftlicher Initiativen von Frauen	Georgia

69752392	DEVELOPMENT WORKER	Germany	51010.05	DEVELOPMENT EXPERT		Uganda

69914673	Promotion of habitat improvement by self-help in Cotopaxi	Germany	15150.02	STRENGTHENING CIVIL SOCIETY	Promotion of habitat improvement by self-help in Cotopaxi	Ecuador

70441793		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Argentina

64067037	Promoting Independent Media in Subsahara Africa, Asia, and the Middle East	Germany	15150.08	FREE FLOW OF INFORMATION	Promoting Independent Media in Subsahara Africa, Asia, and the Middle East	Pakistan

67249855		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Angola

71251017		Germany	72040.01	EMERGENCY FOOD AID	Finanzierung von Nahrungsmitteln, Saatgut und landwirtschaftlichem Gerät für rückkehrende Flüchtlinge und Vertriebene	Congo, Democratic Republic of

71760917	DEVELOPMENT WORKER	Germany	51010.05	DEVELOPMENT EXPERT		Cameroon

73099004	Field Advocacy Co-Ordinator	Germany	15150.07	HUMAN RIGHTS	Implementation, coordination and planning of all aspects of strategic field based human rights advocacy within the OSCE mission Human Rights Department	Bosnia-Herzegovina

73366431	Humanitarian assistance and protection	Germany	72010.01	HUMANITARIAN ASSISTANCE AND PROTECTION	Provision of emergency humanitarian assistance and protection to people affected by the conflict in Georgia	Georgia

74408244		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Indonesia

75572034	Capacity Building and Advocacy against Women's Trade and Prostitution	Germany	15150.07	CAPACITY BUILDING AND ADVOCACY AGAINST WOMEN'S TRADE AND PROSTITUTION	Capacity Building and Advocacy against Women's Trade and Prostitution, West of Bengali/ Sanlaap	India

75572034	Capacity Building and Advocacy against Women's Trade and Prostitution	Germany	42010.01	CAPACITY BUILDING AND ADVOCACY AGAINST WOMEN'S TRADE AND PROSTITUTION	Capacity Building and Advocacy against Women's Trade and Prostitution, West of Bengali/ Sanlaap	India

75572034	Capacity Building and Advocacy against Women's Trade and Prostitution	Germany	15150.09	CAPACITY BUILDING AND ADVOCACY AGAINST WOMEN'S TRADE AND PROSTITUTION	Capacity Building and Advocacy against Women's Trade and Prostitution, West of Bengali/ Sanlaap	India

75572034	Capacity Building and Advocacy against Women's Trade and Prostitution	Germany	15110.03	CAPACITY BUILDING AND ADVOCACY AGAINST WOMEN'S TRADE AND PROSTITUTION	Capacity Building and Advocacy against Women's Trade and Prostitution, West of Bengali/ Sanlaap	India

75728232		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Haiti

77455766		Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Moldova

78643419	Rural Development and Resource Mangement in Andes countries	Germany	43040.03	STRENGTHENING CIVIL SOCIETY	Rural Development and Resource Mangement in Andes countries	Peru

78643419	Rural Development and Resource Mangement in Andes countries	Germany	15150.01	STRENGTHENING CIVIL SOCIETY	Rural Development and Resource Mangement in Andes countries	Peru

53275229	Humanitarian Demining	Germany	15250.01	HUMANITARIAN DEMINING	Demining in Mazar i Scharif	Afghanistan

51074843	Fonds pour la Consolidation de la Paix	Germany	15205.01	FONDS POUR LA CONSOLIDATION DE LA PAIX	Fonds pour la Consolidation de la Paix	Congo, Democratic Republic of

51218955	Promoting Independent Media in Subsahara Africa, Asia, and the Middle East	Germany	15150.08	FREE FLOW OF INFORMATION	Promoting Independent Media in Subsahara Africa, Asia, and the Middle East	Nigeria

51627210	special protection vehicle	Germany	21020.02	SPECIAL PROTECTION VEHICLE	Support of the Peace Process in the Near East	Palestinian Adm. Areas

51627210	special protection vehicle	Germany	15205.01	SPECIAL PROTECTION VEHICLE	Support of the Peace Process in the Near East	Palestinian Adm. Areas

50118735	InWEnt Regional Offices	Germany	92020.01	INWENT REGIONAL OFFICES	InWEnt Auslandsbüros 2008 - 2011	Malawi

62153420	ACCELERATING SECURITY IN AFRICA	Germany	15210.01	ACCELERATING SECURITY IN AFRICA		

86937644		Germany	31120.01	AGRICULTURAL DEVELOPMENT		Kenya

89177465		Germany	41050.01	FLOOD PROTECTION		Bangladesh

89177465		Germany	41050.03	FLOOD PROTECTION		Bangladesh

85757798		Germany	21005.01	TRANSPORT		Sri Lanka

84179128	TWINNING-PROJEKT DES BMF	Germany	15110.05	ECONOMIC & DVPT POLICY/PLANNING		Slovak Republic

84179128	TWINNING-PROJEKT DES BMF	Germany	15110.02	ECONOMIC & DVPT POLICY/PLANNING		Slovak Republic

89301459		Germany	31220.02	SHAANXI PROVINCE AFFORESTATION		China

89348681		Germany	24020.01	AGRICULTURAL DEVEL. BANK		Cameroon

89348681		Germany	31120.01	AGRICULTURAL DEVEL. BANK		Cameroon

89348681		Germany	31191.03	AGRICULTURAL DEVEL. BANK		Cameroon

81574316	DEZENTRALES MANAGEMENT	Germany	15140.03	DECENTRALISED MANAGEMENT		Benin

85077175		Germany	14020.01	WATER SUPPLY		Ghana

85081036		Germany	99810.01	STUDY FUND		

85040455		Germany	31120.03	AGR. BANK LOAN,SM FARM		Paraguay

85040455		Germany	31191.03	AGR. BANK LOAN,SM FARM		Paraguay

85042102		Germany	31205.01	FORESTRY SERVICES		Ghana

85246862		Germany	24020.01	AGRICULTURAL DEVEL. BANK		Cote d`Ivoire

85246862		Germany	31120.01	AGRICULTURAL DEVEL. BANK		Cote d`Ivoire

85246862		Germany	31191.03	AGRICULTURAL DEVEL. BANK		Cote d`Ivoire

85213268		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Central African Republic

85221185		Germany	72010.01	HUMANITARIAN AID		Brazil

85219781		Germany	72010.01	HUMANITARIAN AID		Chile

85198467		Germany	31120.07	SMALLHOLDER RUBBER PLANTA		Indonesia

85363152		Germany	31140.02	IRRIGATION SCHEMES		Cyprus

85367953		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		Israel

85374466		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Laos

85388701		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Sri Lanka

85391938		Germany	31182.03	LIVESTOCK RESEARCH		Cote d`Ivoire

85355400		Germany	31140.02	SPARES IRRIGATION PUMPS		Egypt

85515127		Germany	72010.01	HUMANITARIAN AID		Jordan

85510350		Germany	24020.01	AGRICULTURAL DEVEL. BANK		Brazil

85510350		Germany	31120.01	AGRICULTURAL DEVEL. BANK		Brazil

85510350		Germany	31191.03	AGRICULTURAL DEVEL. BANK		Brazil

85527808		Germany	72010.01	HUMANITARIAN AID		St. Lucia

85531006		Germany	99810.01	TECH. EXPERTS,UTILITIES		Gambia

85718299		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Zimbabwe

85722511		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Viet Nam

85668850		Germany	14020.01	WATER SUPPLY		Bolivia

85654877		Germany	31110.01	AGRICULTURE SECTOR ADJUSTMENT		Mali

85654877		Germany	31110.02	AGRICULTURE SECTOR ADJUSTMENT		Mali

85689202		Germany	72010.01	HUMANITARIAN AID		Liberia

85160205		Germany	73010.04	RECONSTR. AID, YUNNAN PROVINCE		China

85160205		Germany	73010.01	RECONSTR. AID, YUNNAN PROVINCE		China

85131535		Germany	72010.01	HUMANITARIAN AID		Burundi

85132744		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		Ethiopia

85145263		Germany	72010.01	HUMANITARIAN AID		Pakistan

85147174		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Mauritania

85316077		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Lesotho

85300555		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Niger

85312996		Germany	14020.01	RURAL WATER SUPPLY		Sudan

85312996		Germany	43040.05	RURAL WATER SUPPLY		Sudan

85459483		Germany	72010.01	HUMANITARIAN AID		Mauritania

85461901		Germany	72010.01	HUMANITARIAN AID		Madagascar

85436606		Germany	31140.02	IRRIGATION		Pakistan

85495399		Germany	41005.01	PASTURE IMPROVEMENT		Tunisia

85591330		Germany	14020.01	WATER SUPPLY		Senegal

85626594		Germany	31120.06	CEREALS		Sudan

85632483		Germany	21020.01	RURAL ROADS		Malawi

85632483		Germany	43040.05	RURAL ROADS		Malawi

85785660		Germany	72010.01	HUMANITARIAN AID		Chad

85796698		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Somalia

85768617		Germany	72010.01	HUMANITARIAN AID		Congo, Republic of

85779498		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Mozambique

85866837		Germany	31150.01	AGR. INPUTS		Somalia

85869918		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Pakistan

85847686		Germany	31391.05	FISH COLD STORES & EQMT.		Somalia

85851547		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Lesotho

85860324		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Honduras

85820081		Germany	31205.01	FORESTRY SERVICES		Colombia

87067981		Germany	72010.01	HUMANITARIAN AID		Nepal

87073753		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Lesotho

87083620		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Uganda

87092278		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Sudan

88005254		Germany	31140.02	IRRIGATION,MAINTENANCE		Thailand

88005488		Germany	24020.01	AGR. DEVELOP. BANK LOAN		Morocco

88005488		Germany	31191.03	AGR. DEVELOP. BANK LOAN		Morocco

88005488		Germany	24030.01	AGR. DEVELOP. BANK LOAN		Morocco

86685419		Germany	31191.03	AGRI/CREDIT EJE NORTE		Paraguay

86685419		Germany	24030.01	AGRI/CREDIT EJE NORTE		Paraguay

86687415		Germany	31205.01	FORESTRY SERVICES		Brazil

86936786		Germany	33120.03	6 CUSTOMS BOATS		Indonesia

86937215		Germany	14020.01	WATER SUPPLY		Indonesia

86937683		Germany	14020.01	WATER SUPPLY		Indonesia

86942291		Germany	16030.02	RURAL HOUSING,CONSULTANTS		Honduras

86972283		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Haiti

86975754		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Gabon

86979267		Germany	31140.02	IRRIGATION, TINAJONES		Peru

87605591		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Mexico

88518678		Germany	14020.01	RURAL WATER SUPPLY		Haiti

88518678		Germany	43040.05	RURAL WATER SUPPLY		Haiti

88521486		Germany	21020.01	RURAL ROADS		Guatemala

88521486		Germany	43040.05	RURAL ROADS		Guatemala

88524100		Germany	14020.01	WATER SUPPLY		Niger

88504599		Germany	14020.01	WATER SUPPLY		Senegal

88504833		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		Tunisia

88504911		Germany	31220.01	FORESTRY DEVELOPMENT		Syria

88505106		Germany	43040.01	RURAL DEVELOPMENT		Syria

88506042		Germany	31220.02	LAMA, REFORESTATION		Benin

88506510		Germany	72010.01	HUMANITARIAN AID		Ethiopia

88506549		Germany	72010.01	HUMANITARIAN AID		Angola

88507953		Germany	31191.01	AGRI. MEANS OF PRODU		Sudan

88515129		Germany	31120.01	AGRICULTURAL DEVELOPMENT		Somalia

88516065		Germany	31120.08	CATTLE FAT. CENTRE C		Niger

88516065		Germany	31191.05	CATTLE FAT. CENTRE C		Niger

88508343		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		Burkina Faso

88508577		Germany	31191.01	AGRI. MEANS OF PRODU		Senegal

88508655		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		Senegal

88512009		Germany	24030.02	DEVELOPMENT BANK LOAN		Turkey

88512243		Germany	31120.06	CEREALS		Yemen

88512945		Germany	72010.01	HUMANITARIAN AID		Mozambique

88513452		Germany	72010.01	HUMANITARIAN AID		Viet Nam

88555071		Germany	14020.01	RURAL WATER SUPPLY		Tunisia

88555071		Germany	43040.05	RURAL WATER SUPPLY		Tunisia

88605033		Germany	31150.03	FERTILIZER IMPORTS		Nepal

88605111		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Lesotho

88641952		Germany	14020.01	RURAL WATER SUPPLY		Namibia

88641952		Germany	43040.05	RURAL WATER SUPPLY		Namibia

88579957		Germany	31150.03	FERTILIZERS		Egypt

88580659		Germany	31140.02	SMALL SCALE IRRIGATION SCHEME		Niger

88343417		Germany	31140.02	RAIN WATER CANALISATION		Niger

88344119		Germany	15140.02	GENERAL GOVMNT SERVICES		Zambia

88344431		Germany	24020.01	AGRICULTURAL DEVEL. BANK		Congo, Democratic Republic of

88344431		Germany	31120.01	AGRICULTURAL DEVEL. BANK		Congo, Democratic Republic of

88344431		Germany	31191.03	AGRICULTURAL DEVEL. BANK		Congo, Democratic Republic of

88301806		Germany	14020.01	WATER SUPPLY		Togo

88305004		Germany	72010.01	EMERGENCY / DISTRESS RELIEF		Costa Rica

88282306		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Lebanon

88308592		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Malawi

88312260		Germany	16010.02	SOCIAL EMERGENCY FUND		Bolivia

88296736		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Brazil

88355522		Germany	72010.01	HUMANITARIAN AID		Honduras

88410631		Germany	31140.02	IRRIGATION DEV. EQMT.		Mali

88410631		Germany	31150.04	IRRIGATION DEV. EQMT.		Mali

87664633		Germany	31150.04	AGRIC. & FISHERY EQMT.		Zimbabwe

87664633		Germany	31330.03	AGRIC. & FISHERY EQMT.		Zimbabwe

87680207		Germany	72010.01	HUMANITARIAN AID		Guatemala

87681845		Germany	72010.01	HUMANITARIAN AID		Equatorial Guinea

87685199		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Guinea

87696782		Germany	14020.01	RURAL WATER SUPPLY		Myanmar

87696782		Germany	43040.05	RURAL WATER SUPPLY		Myanmar

87740103		Germany	72010.01	HUMANITARIAN AID		Djibouti

87740142		Germany	72010.01	HUMANITARIAN AID		Hong Kong, China

87713443		Germany	14020.01	RURAL WATER SUPPLY		Mali

87713443		Germany	43040.05	RURAL WATER SUPPLY		Mali

87763446		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Nicaragua

87776160		Germany	43030.04	URBAN HOUSING		Philippines

88437559		Germany	31140.02	IRRIGATION		Senegal

88490447		Germany	24020.01	AGR. DEV. BANK LOAN		Jordan

88490447		Germany	31191.03	AGR. DEV. BANK LOAN		Jordan

88490447		Germany	24030.01	AGR. DEV. BANK LOAN		Jordan

88495104		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Nepal

88497795		Germany	99810.01	CONSULTING SERVICES		Jordan

88498420		Germany	14020.01	WATER SUPPLY		Morocco

86714903		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		

86719271		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Angola

86543717		Germany	72010.01	EMERGENCY/DISTRESS RELIEF		Yemen

52293292	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Bangladesh

52293292	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Bangladesh

52297304	Rural dev. and Sustainable Livlihood for Adivasi Population, Rajasthans	Germany	43040.01	RURAL DEV. AND SUSTAINABLE LIVLIHOOD FOR ADIVASI POPULATION, RAJASTHANS	Rural Development and Sustainable Livlihood for Adivasi Population, Rajasthans/ Astha	India

52297304	Rural dev. and Sustainable Livlihood for Adivasi Population, Rajasthans	Germany	16010.05	RURAL DEV. AND SUSTAINABLE LIVLIHOOD FOR ADIVASI POPULATION, RAJASTHANS	Rural Development and Sustainable Livlihood for Adivasi Population, Rajasthans/ Astha	India

52461844	Food Aid Haiti	Germany	72040.01	FOOD AID HAITI	Food Aid Haiti	

52463714	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	92005.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Tanzania

52463714	GOVERNMENT CONTRIBUTIONS VIA NGO	Germany	15105.01	GOVERNMENT CONTRIBUTIONS VIA NGO		Tanzania

52598405	SMALL PROJECTS	Germany	25010.08	SMALL PROJECTS		Bolivia

52505513	UNCACEM III	Germany	31150.01	REFIN. OF CREDITS FOR AGRIC. INPUTS		Mauritania

52505513	UNCACEM III	Germany	31191.03	REFIN. OF CREDITS FOR AGRIC. INPUTS		Mauritania

52526955	FOREIGN CULTURAL RELATIONS	Germany	16010.07	CULTURE AND RECREATION	FOREIGN CULTURAL RELATIONS	Djibouti

52538903	humanitarian aid	Germany	72010.01	EMERGENCY/DISTRESS RELIEF	humanitarian aid	Madagascar

52520491	HUMANITARIAN AID	Germany	72010.01	HUMANITARIAN AID		Tajikistan

52521344	REFORM DER FINANZVERWALTUNG (SERBIEN)	Germany	15120.01	PUBLIC SECTOR FINANCIAL MANAGEMENT		Serbia

52525590	Agricultural development	Germany	31120.01	AGRICULTURAL DEVELOPMENT	Landwirtschaftsentwicklung	Kenya

52526138	to cooperate int. as contribution to the global governance architecture	Germany	15140.04	TO COOPERATE INT. AS CONTRIBUTION TO THE GLOBAL GOVERNANCE ARCHITECTURE	Strengthening of the ability to cooperate internationally as a contribution to the global governance architecture	Mali

